fileID,f1,f2,vot,notes
bi03_kaka,1001.28,1810.79,18.86,
bi03_kaka1,1001.28,1810.79,18.86,
bi03_kaka2,1001.28,1810.79,18.86,
bi03_keke,1001.28,1810.79,18.86,
bi03_keke1,1001.28,1810.79,18.86,
bi03_keke2,1001.28,1810.79,18.86,
bi03_kiki,1001.28,1810.79,18.86,
bi03_kiki1,1001.28,1810.79,18.86,
bi03_kiki2,1001.28,1810.79,18.86,
bi03_koko,1001.28,1810.79,18.86,
bi03_koko1,1001.28,1810.79,18.86,
bi03_koko2,1001.28,1810.79,18.86,
bi03_kuku,1001.28,1810.79,18.86,
bi03_kuku1,1001.28,1810.79,18.86,
bi03_kuku2,1001.28,1810.79,18.86,
bi03_paka,1001.28,1810.79,18.86,
bi03_paka1,1001.28,1810.79,18.86,
bi03_paka2,1001.28,1810.79,18.86,
bi03_peke,1001.28,1810.79,18.86,
bi03_peke1,1001.28,1810.79,18.86,
bi03_peke2,1001.28,1810.79,18.86,
bi03_piki,1001.28,1810.79,18.86,
bi03_piki1,324.77,2816.14,19.62,
bi03_piki2,1200.60,2510.25,19.39,
bi03_poko,533.15,887.19,36.46,
bi03_poko1,621.98,1920.09,16.75,
bi03_poko2,514.14,863.89,20.74,
bi03_puku,441.48,576.93,20.56,
bi03_puku1,659.14,1814.35,36.97,
bi03_puku2,419.49,818.84,15.13,
bi03_taka,752.95,1638.85,16.14,
bi03_taka1,822.42,1646.47,17.07,
bi03_taka2,848.82,1539.23,12.75,
bi03_teke,455.36,2350.09,12.93,
bi03_teke1,454.13,2400.70,15.95,
bi03_teke2,425.32,2444.65,18.93,
bi03_tiki,356.71,2505.42,19.01,
bi03_tiki1,908.10,2213.98,12.39,
bi03_tiki2,438.93,1922.20,22.41,
bi03_toko,791.72,1013.10,11.85,
bi03_toko1,747.14,1165.32,15.27,
bi03_toko2,777.71,1089.75,13.22,
bi03_tuku,665.44,832.46,12.93,
bi03_tuku1,390.98,727.70,10.92,
bi03_tuku2,396.95,741.05,15.84,
