fileID,f1,f2,vot,notes
ne03_kaka,770.97,1802.72,34.57,
ne03_kaka1,816.83,1733.43,29.92,
ne03_kaka2,883.23,1693.39,44.01,
ne03_keke,683.93,2637.85,33.78,
ne03_keke1,563.07,1706.76,29.19,
ne03_keke2,561.16,2587.75,37.25,
ne03_kiki,498.95,2707.72,39.63,
ne03_kiki1,400.42,2168.36,76.23,
ne03_kiki2,373.05,2819.99,61.68,
ne03_koko,507.64,1070.34,52.81,
ne03_koko1,613.21,1216.31,33.90,
ne03_koko2,568.90,1092.27,39.54,
ne03_kuku,516.17,991.19,53.78,
ne03_kuku1,465.96,1071.70,57.45,
ne03_kuku2,412.40,1062.50,48.49,
ne03_paka,841.14,1790.50,11.91,
ne03_paka1,720.51,1845.38,24.59,
ne03_paka2,734.68,1935.98,9.77,
ne03_peke,548.07,1481.75,13.79,
ne03_peke1,735.34,2481.60,36.33,
ne03_peke2,586.76,2112.78,20.63,
ne03_piki,364.79,2740.93,21.93,
ne03_piki1,379.65,1955.89,42.68,
ne03_piki2,391.90,2227.96,20.12,
ne03_poko,637.44,1122.82,20.12,
ne03_poko1,581.42,1187.45,38.54,
ne03_poko2,594.39,1101.84,44.53,
ne03_puku,1003.76,1406.87,33.21,
ne03_puku1,428.54,971.52,47.95,
ne03_puku2,487.01,986.67,74.26,
ne03_taka,733.09,1792.25,30.21,
ne03_taka1,854.89,1743.49,24.52,
ne03_taka2,762.23,1486.56,16.98,
ne03_teke,575.40,1571.78,41.99,
ne03_teke1,576.24,1885.55,35.22,
ne03_teke2,563.46,1702.37,29.43,
ne03_tiki,464.71,2797.54,47.86,
ne03_tiki1,376.70,1563.56,81.24,
ne03_tiki2,408.18,1822.46,33.01,
ne03_toko,613.87,1102.55,34.78,
ne03_toko1,617.86,1192.50,41.34,
ne03_toko2,528.89,1045.41,29.26,
ne03_tuku,445.61,1096.96,46.41,
ne03_tuku1,428.27,1051.73,62.54,
ne03_tuku2,472.89,1126.35,44.92,
